Amplitude_Envelope_Mean,RMS_Mean,ZCR_Mean,STFT_Mean,SC_Mean,SBAN_Mean,SCON_Mean,MFCCs13Mean,delMFCCs13,del2MFCCs13,MelSpec,MFCCs20,MFCCs1,MFCCs2,MFCCs3,MFCCs4,MFCCs5,MFCCs6,MFCCs7,MFCCs8,MFCCs9,MFCCs10,MFCCs11,MFCCs12,MFCCs13
0.014530345,0.0059386166,0.15248279697847683,0.0477588,2074.856332678309,1365.2480716554269,30.335337728016057,-49.857304,-0.06615417,-0.007036322,-51.073498,-32.139095,-583.22754,47.487804,-2.4031367,9.816076,-24.2949,-1.6355892,-20.951061,-15.9242115,-17.176218,-11.225303,-12.650675,-11.274167,-4.6860414
0.017944884,0.0086711105,0.10881557843543047,0.22900671,1525.4686825924305,981.5935206917306,28.94389700309621,-43.732105,0.0039877812,0.008166911,-47.84736,-28.185276,-551.3531,18.158289,0.8935679,5.087374,-9.920638,-0.87625223,-7.8599157,-3.7290492,-4.3202734,-5.812676,-4.004554,-2.4974837,-2.2827132
0.10646764,0.041595995,0.1270274989652318,1.2670758,1968.9706836389078,1267.436748415944,27.943448911011583,-36.269997,0.019964436,0.019970365,-37.320133,-23.640123,-418.47455,52.049343,-29.191122,1.9112448,-40.472927,-4.062348,-19.402939,-1.8912554,-8.275351,4.733891,-0.4382118,-4.7243443,-3.2713408
0.0069638593,0.0019086358,0.166002690397351,0.0088386675,2164.8275379820484,1263.212549807057,27.51687603707812,-54.374496,-0.012260981,0.0021239985,-59.156006,-35.995228,-678.18317,35.469822,-7.810078,3.8381848,-15.928623,-3.6485126,-8.753289,-3.5698752,-7.0908566,-6.0114784,-6.071455,-6.0784135,-3.030733
0.032902095,0.0133555615,0.06627690397350994,0.2838733,1160.3046106641875,897.570494120934,31.106903385272396,-43.372215,0.0032548152,0.0037345006,-44.979107,-27.015667,-515.18823,46.38931,1.7799242,6.463829,-15.6891365,-16.225485,-17.095581,-14.909954,-13.148824,-6.779234,-9.281975,-7.4631743,-2.690226
0.054740217,0.01915505,0.12357396005794702,0.61324996,1674.0245218280222,836.4048040903274,28.55564565341832,-43.283848,0.06513041,0.026889449,-45.04631,-27.863407,-511.47134,38.562298,-38.088318,3.8219342,-4.6799955,0.6036191,-16.409813,-2.4114094,-5.6242304,-4.1099877,-11.370409,-9.320897,-2.1914253
0.054740217,0.01915505,0.12357396005794702,0.61324996,1674.0245218280222,836.4048040903274,28.55564565341832,-43.283848,0.06513041,0.026889449,-45.04631,-27.863407,-511.47134,38.562298,-38.088318,3.8219342,-4.6799955,0.6036191,-16.409813,-2.4114094,-5.6242304,-4.1099877,-11.370409,-9.320897,-2.1914253
0.12478509,0.04195739,0.10773877276490067,2.3317258,1988.878197025564,1124.510117142639,24.281727348860457,-36.603523,-3.1100568e-05,2.827574e-05,-39.465454,-24.16039,-448.116,36.156788,-31.160715,8.807464,-13.174492,-2.6305802,-16.474926,9.324447,-10.272113,-0.35451078,-4.5170665,-3.5220947,0.08799228
0.021210622,0.006019303,0.11634351717715231,0.090462975,1593.769320693059,1002.1077969596247,25.538584622986036,-48.8394,-0.016811075,0.0022431547,-55.497795,-32.901756,-629.0598,42.354786,-10.418975,8.480052,-11.709426,0.99723005,-7.7206798,-5.021908,-7.151365,-2.7294118,-4.018206,-4.639294,-4.275209
0.083886884,0.027673608,0.2165899213576159,0.7026165,2671.189860540382,1207.7041882119738,30.675914897664406,-38.371197,0.037101667,0.030189868,-41.895855,-25.95292,-464.88324,26.258482,-46.616516,31.450752,-24.634531,10.214953,-18.749111,8.97259,-16.45472,-2.098376,-6.770209,-3.0386329,7.523025
0.11688106,0.04777775,0.09551557326158941,2.1109369,1557.030713188183,1079.3591319871873,28.24837905512228,-34.947536,0.10231214,-0.0068241516,-32.866676,-21.944239,-379.78394,44.152985,-27.89097,1.1172037,-32.653713,-4.3137145,-20.684677,-0.48077837,-8.730011,-4.552763,-4.17839,-14.116415,-2.202792
0.07052788,0.026727557,0.10081229304635761,0.800373,1620.1177403672436,1238.203107533629,30.318587192063273,-38.756218,0.06489075,0.026413947,-39.926712,-24.606625,-452.48438,44.885284,-20.975592,0.95470846,-30.99773,-9.2850485,-15.293318,3.67044,-5.314667,-5.2113247,-1.3287873,-8.704332,-3.7461421
0.015149057,0.0049059424,0.16381997620033112,0.046214264,2001.9986046607412,1183.5837607337307,33.829828734378104,-49.20206,0.0313388,0.062414113,-52.43942,-33.27038,-596.8861,77.4673,-17.264776,6.659977,-35.048615,-5.450866,-5.781104,-1.4477794,-10.233064,-9.170612,-12.6279335,-19.17608,-10.667178
0.09131213,0.027969273,0.15385386485927152,0.63965064,2240.815984971084,1207.870368119159,28.699364172478347,-36.07793,0.05337119,-0.019425752,-37.57953,-22.716063,-429.273,38.81949,-51.385216,18.202291,-26.786074,4.2783694,-14.095531,9.670987,-12.033859,-0.56073415,-3.4170496,-5.5276837,3.0949638
0.03918962,0.010796118,0.12642927359271522,0.16436167,1659.7267855808627,937.3077120798299,27.16598236180527,-46.68591,0.03861917,0.040902063,-51.046112,-30.993721,-588.7845,51.037968,-18.886728,11.583106,-21.549473,-0.37060183,-17.767456,2.5985892,-7.7340765,-4.4094133,-0.7363494,-7.837842,-4.06
0.14326994,0.04752389,0.11434835471854304,1.533748,1914.2318429936545,1332.6726230968447,27.747114699823967,-32.760784,-0.07529135,0.029690403,-32.582355,-20.23715,-362.82672,65.90461,-54.491074,-1.3090762,-39.312553,-4.774537,-23.773897,23.074251,-13.080436,-9.104523,-1.7038219,-10.45654,5.964132
0.046840414,0.01779317,0.14207367549668873,0.34339,1801.782479312307,1005.749936284075,30.00016873876414,-41.367146,0.035717823,-0.0008384306,-44.696537,-28.007677,-515.23975,43.65142,-33.10661,15.784899,-13.990246,8.430519,-17.705452,4.1732006,-1.4125773,-3.389493,-12.324014,-8.698893,-3.945935
